Ticker,Setor,Indústria,Preço Atual,Preço Máximo 52 Semanas,Preço Mínimo 52 Semanas,Volume Médio Diário,Market Cap,P/L,P/L Futuro,P/VP,PEG Ratio,Margem Lucro,ROE,ROA,Crescimento Receita,Dividend Yield,Beta,Dívida/Patrimônio,Short Ratio
GRMN,Technology,Scientific & Technical Instruments,249.645,261.69,169.26,1394240,48055152640,30.82037,24.546234,5.359259,,0.22964,0.19783,0.11371,0.166,1.7,0.999,2.184,3.45
CIEN,Technology,Communication Equipment,336.5,348.28,49.21,2758350,47602454528,391.27905,48.644318,17.385689,,0.02586,0.04448,0.03376,0.203,,1.147,59.608,1.81
EW,Healthcare,Medical Devices,82.26,87.89,65.94,5776110,48294850560,45.447517,24.880003,4.6807785,,0.17692,0.1042,,0.133,,0.94,6.862,2.32
DHI,Consumer Cyclical,Residential Construction,164.06,184.55,110.44,2817940,47757791232,14.928117,13.335143,1.9861745,,0.09948,0.13477,0.07825,-0.095,1.1,1.45,22.872,4.33
CMG,Consumer Cyclical,Restaurants,36.425,58.42,29.75,17137030,48163975168,31.951754,26.582157,16.785713,,0.12878,0.47355,0.13878,0.049,,0.996,179.319,2.0
ETR,Utilities,Utilities - Regulated Electric,104.62,106.71,75.57,3209390,47341838336,26.767263,21.254732,0.80932283,,0.13581,0.10774,0.0294,0.079,2.36,,179.504,4.9
ADSK,Technology,Software - Application,220.68,329.09,215.01,2453080,47004839936,42.76744,18.936247,16.171772,,0.16129999,0.40333998,0.097449996,0.18,,1.453,94.504,2.47
CVNA,Consumer Cyclical,Auto & Truck Dealerships,327.62,486.89,148.25,6276990,71795523584,38.7716,30.736122,13.541933,,0.06924,0.67946,0.1086,0.58,,3.573,133.119,3.94
YUM,Consumer Cyclical,Restaurants,166.35,169.39,137.33,1827680,46187548672,30.027077,22.301022,-6.2906523,,0.1898,,0.22648,0.065,1.8,0.657,,3.6
HSY,Consumer Defensive,Confectioners,227.05,234.87,150.04,2477260,46042361856,52.315666,23.187958,9.932631,,0.07554,0.1889,0.06892,0.07,2.57,0.169,123.763,5.23
NDAQ,Financial Services,Financial Data & Stock Exchanges,80.87,101.79,64.84,5787640,46176403456,26.171522,18.56132,3.7692847,,0.21641001,0.15253,0.05055,0.046,1.35,1.024,77.878,2.46
ROK,Industrials,Specialty Industrial Machinery,401.31,438.72,215.0,1422920,45120561152,45.81164,29.290434,12.036893,,0.11557,0.23736,0.0871,0.119,1.42,1.527,99.289,4.01
